Rk,Unnamed: 1,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Domantas Sabonis,24,62,62,36.0,7.8,14.6,0.535,0.8,2.6,0.321,7.0,12.0,0.5820000000000001,0.564,3.9,5.3,0.732,2.4,9.5,12.0,6.7,1.2,0.5,3.4,3.3,20.3
2,Malcolm Brogdon,28,56,56,34.5,7.9,17.5,0.45299999999999996,2.6,6.7,0.38799999999999996,5.3,10.8,0.493,0.527,2.7,3.2,0.8640000000000001,1.0,4.2,5.3,5.9,0.9,0.3,2.1,2.0,21.2
3,Victor Oladipo,28,9,9,33.3,7.1,16.9,0.42100000000000004,2.8,7.7,0.36200000000000004,4.3,9.2,0.47,0.503,3.0,4.1,0.73,0.1,5.6,5.7,4.2,1.7,0.2,2.0,2.6,20.0
4,Caris LeVert,26,35,35,32.9,7.8,17.5,0.44299999999999995,1.8,5.6,0.318,6.0,12.0,0.501,0.493,3.4,4.2,0.8220000000000001,0.7,4.0,4.6,4.9,1.5,0.7,2.2,2.4,20.7
5,Myles Turner,24,47,47,31.0,4.4,9.2,0.47700000000000004,1.5,4.4,0.335,2.9,4.8,0.606,0.557,2.4,3.0,0.782,1.3,5.2,6.5,1.0,0.9,3.4,1.4,3.5,12.6
6,Justin Holiday,31,72,52,30.3,3.6,8.7,0.413,2.4,6.3,0.382,1.2,2.4,0.494,0.551,0.9,1.2,0.7879999999999999,0.4,3.1,3.6,1.7,1.0,0.6,0.8,1.9,10.5
7,T.J. Warren,27,4,4,29.3,6.8,12.8,0.529,0.0,1.8,0.0,6.8,11.0,0.614,0.529,2.0,2.5,0.8,0.5,3.0,3.5,1.3,0.5,0.0,1.0,4.0,15.5
8,T.J. McConnell,28,69,3,26.0,4.0,7.1,0.5589999999999999,0.2,0.7,0.313,3.8,6.4,0.586,0.574,0.5,0.7,0.688,0.8,2.9,3.7,6.6,1.9,0.3,2.0,1.6,8.6
9,Oshae Brissett,22,21,16,24.7,3.5,7.2,0.483,1.6,3.7,0.423,1.9,3.5,0.5479999999999999,0.593,2.4,3.1,0.769,1.4,4.1,5.5,0.9,0.9,1.0,0.5,1.5,10.9
10,Doug McDermott,29,66,29,24.5,5.4,10.1,0.532,1.7,4.3,0.38799999999999996,3.7,5.7,0.6409999999999999,0.616,1.2,1.5,0.816,0.9,2.4,3.3,1.3,0.3,0.1,0.8,1.8,13.6
11,Jeremy Lamb,28,36,8,21.3,3.3,7.7,0.435,1.4,3.6,0.406,1.9,4.1,0.45899999999999996,0.529,2.0,2.1,0.9470000000000001,0.7,2.9,3.6,1.5,0.9,0.6,0.6,2.0,10.1
12,Aaron Holiday,24,66,8,17.8,2.6,6.6,0.39,1.0,2.8,0.368,1.6,3.8,0.406,0.467,1.0,1.3,0.8190000000000001,0.2,1.1,1.3,1.9,0.7,0.2,1.0,1.4,7.2
13,Edmond Sumner,25,53,24,16.2,2.8,5.3,0.525,0.7,1.7,0.39799999999999996,2.1,3.7,0.5820000000000001,0.5870000000000001,1.3,1.6,0.8190000000000001,0.3,1.4,1.8,0.9,0.6,0.2,1.0,1.7,7.5
14,Goga Bitadze,21,45,3,12.5,1.8,4.3,0.428,0.4,1.8,0.253,1.4,2.6,0.5479999999999999,0.479,1.0,1.4,0.738,1.3,2.0,3.3,0.8,0.2,1.3,0.4,2.1,5.1
15,JaKarr Sampson,27,29,4,10.9,1.9,3.9,0.496,0.1,0.5,0.2,1.8,3.4,0.541,0.509,0.7,1.0,0.655,0.9,1.7,2.7,0.1,0.1,0.5,0.5,1.8,4.6
16,Kelan Martin,25,35,0,9.2,1.8,3.9,0.449,0.7,1.7,0.4,1.1,2.2,0.48700000000000004,0.536,0.3,0.3,0.9,0.5,1.7,2.2,0.5,0.3,0.3,0.5,1.0,4.5
17,Amida Brimah,26,5,0,5.8,1.0,1.6,0.625,0.0,0.0,,1.0,1.6,0.625,0.625,0.6,0.6,1.0,0.4,1.2,1.6,0.2,0.0,1.0,0.8,0.8,2.6
18,Cassius Stanley,21,24,0,3.9,0.5,1.8,0.302,0.1,0.5,0.231,0.4,1.3,0.33299999999999996,0.337,0.3,0.4,0.778,0.3,0.5,0.8,0.0,0.0,0.1,0.0,0.6,1.5
19,Jalen Lecque,20,4,0,3.0,0.3,2.3,0.111,0.0,0.3,0.0,0.3,2.0,0.125,0.111,0.8,0.8,1.0,0.5,0.8,1.3,0.5,0.0,0.0,0.0,0.0,1.3
20,Brian Bowen,22,6,0,2.5,0.2,0.7,0.25,0.0,0.2,0.0,0.2,0.5,0.33299999999999996,0.25,0.2,0.2,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.2,0.5
